iter	Passed	Remaining
0	0	32
1	0	32
2	0	30
3	1	27
4	1	26
5	1	26
6	1	25
7	2	25
8	2	25
9	2	25
10	3	24
11	3	24
12	3	24
13	3	24
14	4	24
15	4	23
16	4	23
17	5	22
18	5	22
19	5	22
20	5	22
21	6	21
22	6	21
23	6	21
24	6	20
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	14	31
31	14	31
32	14	30
33	15	29
34	25	47
35	25	45
36	26	44
37	26	42
38	36	57
39	36	55
40	37	53
41	37	51
42	37	49
43	37	48
44	38	46
45	38	45
46	38	43
47	38	42
48	39	40
49	39	39
50	39	38
51	40	36
52	40	35
53	40	34
54	40	33
55	41	32
56	41	31
57	41	30
58	41	29
59	42	28
60	42	27
61	42	26
62	43	25
63	43	24
64	43	23
65	44	22
66	44	21
67	44	21
68	45	20
69	45	19
70	45	18
71	46	17
72	46	17
73	46	16
74	47	15
75	47	14
76	47	14
77	48	13
78	48	12
79	48	12
80	49	11
81	49	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	53	4
93	54	3
94	54	2
95	54	2
96	55	1
97	55	1
98	55	0
99	56	0
